,phrase,label,sentiment,subjectivity,language,count
make its way to the region this week,make its way to the region this week,MISC,,,en,2
Water from the Bukit Merah Dam is being released downstream due to increasing water levels from continuous rainfall,Water from the Bukit Merah Dam is being released downstream due to increasing water levels from continuous rainfall,MISC,,,en,2
But what happens when mountain cities begin to,But what happens when mountain cities begin to,MISC,,,en,2
With continuous rainfall filling the Air Itam Dam to the brim,With continuous rainfall filling the Air Itam Dam to the brim,MISC,,,en,2
during Thursday,during Thursday,MISC,,,en,1
Read full story,Read full story,MISC,,,en,1
Rain prevents a result between Bangladesh and co-hosts India in the final group stage game of the Women's World Cup as persistent rain has the final say,Rain prevents a result between Bangladesh and co-hosts India in the final group stage game of the Women's World Cup as persistent rain has the final say,MISC,,,en,1
Rain prevented a result between Bangladesh and co-hosts India in the final group stage game of the Women's World Cup as persistent rain had the final say,Rain prevented a result between Bangladesh and co-hosts India in the final group stage game of the Women's World Cup as persistent rain had the final say,MISC,,,en,1
Why is New Delhi making it rain artificially,Why is New Delhi making it rain artificially,MISC,,,en,1
India It is that time of year again in the capital of the worlds most populous nation,India It is that time of year again in the capital of the worlds most populous nation,MISC,,,en,1
when 40 million people cough and splutter through toxic pollution for weeks on end,when 40 million people cough and splutter through toxic pollution for weeks on end,MISC,,,en,1
These days,These days,MISC,,,en,1
it i…,it i…,MISC,,,en,1
2 men,2 men,MISC,,,en,1
How growing rice differently could ease climate change,How growing rice differently could ease climate change,MISC,,,en,1
the rain during heavy downpour on Oct,the rain during heavy downpour on Oct,MISC,,,en,1
pulled both victims from waterlogged,pulled both victims from waterlogged,MISC,,,en,1
Two men died after being trapped,Two men died after being trapped,MISC,,,en,1
according to officials,according to officials,MISC,,,en,1
The FDNY said it received a call around,The FDNY said it received a call around,MISC,,,en,1
about a person trapped,about a person trapped,MISC,,,en,1
a flooded,a flooded,MISC,,,en,1
Neutrophils are highly motile white blood cells that protect our body against bacterial and fungal infections,Neutrophils are highly motile white blood cells that protect our body against bacterial and fungal infections,MISC,,,en,1
Local and global cytosolic Ca2+ elevations enhance the ability of neutrophils to phagocytose and kill microbes,Local and global cytosolic Ca2+ elevations enhance the ability of neutrophils to phagocytose and kill microbes,MISC,,,en,1
but how Ca2+ signals regulate neutro,but how Ca2+ signals regulate neutro,MISC,,,en,1
"Local and global
 ","Local and global
 ",MISC,,,en,1
A person,A person,MISC,,,en,1
Read full story IPOH,Read full story IPOH,MISC,,,en,1
said th,said th,MISC,,,en,1
Perak's,Perak's,MISC,,,en,1
The storm system is set,The storm system is set,MISC,,,en,1
The storm system is set to arrive late Monday and hover over the a,The storm system is set to arrive late Monday and hover over the a,MISC,,,en,1
Three-quarters of the world's drought-prone areas are at risk of extreme water shortages,Three-quarters of the world's drought-prone areas are at risk of extreme water shortages,MISC,,,en,1
this century,this century,MISC,,,en,1
and some could be hit before 2030,and some could be hit before 2030,MISC,,,en,1
Almost three-quarters of drought-prone regions around the world will be at risk of extreme water shortages known as,Almost three-quarters of drought-prone regions around the world will be at risk of extreme water shortages known as,MISC,,,en,1
by 2100 if emissions aren't reduced,by 2100 if emissions aren't reduced,MISC,,,en,1
and a third of these regio…,and a third of these regio…,MISC,,,en,1
It's really,It's really,MISC,,,en,1
extraordinary story,extraordinary story,MISC,,,en,1
I have found two or three rich guys,I have found two or three rich guys,MISC,,,en,1
but I found a couple hundred middle class and even some desperately poor people who made it out and left records,but I found a couple hundred middle class and even some desperately poor people who made it out and left records,MISC,,,en,1
And that shocked me,And that shocked me,MISC,,,en,1
The eerie casts of the victims of the A.D. 79 eruption of Mount Vesuvius paint a desolate picture of the destruction the volcano wrought on ancient cities near modern Naples,The eerie casts of the victims of the A.D. 79 eruption of Mount Vesuvius paint a desolate picture of the destruction the volcano wrought on ancient cities near modern Naples,MISC,,,en,1
"Pompeii became a 2,000-y","Pompeii became a 2,000-y",MISC,,,en,1
the dynamics,the dynamics,MISC,,,en,1
Has climate change brought mosquitoes to Iceland,Has climate change brought mosquitoes to Iceland,MISC,,,en,1
Scientists point to rising temperatures,Scientists point to rising temperatures,MISC,,,en,1
Iceland for the first time this month,Iceland for the first time this month,MISC,,,en,1
resulting in the country losing its status as one of the only places in the world without them,resulting in the country losing its status as one of the only places in the world without them,MISC,,,en,1
The findings were confirmed by the c,The findings were confirmed by the c,MISC,,,en,1
The game,The game,MISC,,,en,1
